"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
2,"Garretts Newsagents","  Garretts Newsagents, 20-22 Queens Parade, North Road, Lancing, West Sussex, BN15 9BA","BN15 9BA","LN/201500143","Alcohol OFF Sales/Supply",NA,NA,NA,-0.322174,50.829397
3,"Ginger & Dobbs","  Ginger & Dobbs, 31-32 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZD","BN43 5ZD","LN/201400403",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.273537,50.832935
1,"","  Ferry Rigg Inn, 1 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200500338",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.274502,50.832174
2,"Farmers Hotel","  Farmers Hotel, The Farmers, 17 South Street, Lancing, West Sussex, BN15 8AE","BN15 8AE","LN/200500260","Alcohol OFF Sales/Supply",NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.322813,50.82627
3,"Farmhouse Pizza","  Farmhouse Pizza, 397 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/201600369",NA,NA,NA,"Late Night Refresh",-0.297227,50.825825
4,"For UR Convenience","  For UR Convenience, 116 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/201200095","Alcohol OFF Sales/Supply",NA,NA,NA,-0.278177,50.832653
5,"Forbidden Palace","  Forbidden Palace, 132 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200500296",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.324553,50.822057
1,"Empire Club","  Empire Club, 20 Penhill Road, Lancing, West Sussex, BN15 8HJ","BN15 8HJ","LN/200500307",NA,"Alcohol ON Sales/Supply",NA,NA,-0.320996,50.823841
1,"Drury Cafe","  Drury Cafe, 19 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/201700125",NA,"Alcohol ON Sales/Supply",NA,NA,-0.236313,50.834112
2,"Duke Of Wellington","  Duke Of Wellington, 368 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RE","BN43 6RE","LN/200500281",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.268881,50.832884
1,"Calcutta 16","  Calcutta 16, 112 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200600000",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.278177,50.832653
2,"Carats Beach Cafe","  Carats Beach Cafe, Basin Road South, Southwick, West Sussex, BN41 1WD","BN41 1WD","LN/200500299",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.237799,50.828972
3,"Chambers Bistro","  Chambers Bistro, Restaurant, Town Hall Chambers, 45-49 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200500243",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.276111,50.831667
4,"Champion House Social Club","  Champion House Social Club, 9 Southdown Road, Southwick, West Sussex, BN42 4FT","BN42 4FT","LN/200500306",NA,"Alcohol ON Sales/Supply",NA,NA,-0.236054,50.835709
5,"Charcoal Grill","  Charcoal Grill, 71 High Street, Shoreham-By-Sea, West Sussex, BN43 5DE","BN43 5DE","LN/200500245",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.277713,50.832113
6,"Co-Op","  Co-Op, 1-2 Royal George Parade, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TB","BN43 6TB","LN/200500247","Alcohol OFF Sales/Supply",NA,NA,NA,-0.25031,50.841142
7,"Co-Op","  Co-Op, Supermarket, The Co Operative Complex, Ham Road, Shoreham-By-Sea, West Sussex, BN43 6PA","BN43 6PA","LN/200500248","Alcohol OFF Sales/Supply",NA,NA,NA,-0.27066,50.833945
8,"Co-Op","  Co-Op, 22-26 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/200500250","Alcohol OFF Sales/Supply",NA,NA,NA,-0.275634,50.831893
9,"Co-Op","  Co-Op, Co Operative Retail Services, 8-16 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/200500257","Alcohol OFF Sales/Supply",NA,NA,NA,-0.236854,50.834473
10,"Co-Op","  Co-Op, 57-59 Test Road, Sompting, West Sussex, BN15 0EN","BN15 0EN","LN/200500277","Alcohol OFF Sales/Supply",NA,NA,NA,-0.341676,50.831664
11,"Co-Op","  Co-Op, 28-30 Queens Parade, North Road, Lancing, West Sussex, BN15 9BA","BN15 9BA","LN/200500368","Alcohol OFF Sales/Supply",NA,NA,NA,-0.322174,50.829397
12,"Co-op","  Co-op, Manor Road Service Station, 96 Manor Road, Lancing, West Sussex, BN15 0HL","BN15 0HL","LN/201900184","Alcohol OFF Sales/Supply",NA,NA,NA,-0.328494,50.837735
13,"Cricketers","  Cricketers, The Cricketers, 20 The Green, Southwick, West Sussex, BN42 4GF","BN42 4GF","LN/200500325",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.237909,50.833614
14,"Crown And Anchor","  Crown And Anchor, Crown And Anchor, 33 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200500344",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.276111,50.831667
1,"Barn Theatre and Barn Cafe","  Barn Theatre and Barn Cafe, Southwick Community Centre, 24 Southwick Street, Southwick, West Sussex, BN42 4TE","BN42 4TE","LN/200500300",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.233927,50.834498
2,"Beach Cafe","  Beach Cafe, 7 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/201000085",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.271918,50.829069
