Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6865,Licensing Act 2003,Premises Licence,Granted,HARTLEYS FOOD & DRINKS LTD,,HARTLEYS FOOD & DRINKS LTD,"14 Worthing Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3JX",18/03/2022,,Arun
116081,Licensing Act 2003,Premises Licence,Granted,Ferring Country Centre Limited,,Ferring Country Centre,"Ferring Country Centre And Riding Stables, Rife Way, Ferring, Worthing, West Sussex, BN12 5JZ",13/04/2022,,Arun
9221,Licensing Act 2003,Premises Licence,Granted,Michael Anthony Lyons,,THE STEAKIST,"41 High Street, Arundel, West Sussex, BN18 9AG",22/03/2022,,Arun
6672,Licensing Act 2003,Premises Licence,Granted,S&S @ The Fox Patching Ltd,,The Fox Inn,"THE FOX INN, Arundel Road, Patching, WORTHING, West Sussex, BN13 3UJ",15/03/2022,,Arun
114616,Licensing Act 2003,Premises Licence,Granted,Iceland Foods Ltd,,Iceland Foods Limited,"19 - 23 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5AY",29/01/2010,,Arun
6439,Licensing Act 2003,Premises Licence,Granted,Mr Michael Ross Etherington,,Motte & Bailey Cafe,"49 High Street, Arundel, West Sussex, BN18 9AG",13/05/2016,,Arun
6883,Licensing Act 2003,Premises Licence,Granted,Arundel Castle Trustees Ltd,,Arundel Castle Restaurant,,23/03/2022,,Arun
13300,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,"Tesco Express, Barnham.","28 Barnham Road, Eastergate, BOGNOR REGIS, West Sussex, PO22 0ES",24/03/2022,,Arun
116213,Licensing Act 2003,Premises Licence,Granted,MaeRose Distillery Ltd,,MaeRose Distillery Ltd,"3 Carnation Close, LITTLEHAMPTON, West Sussex, BN17 6WR",03/05/2022,,Arun
6572,Licensing Act 2003,Premises Licence,Granted,Mr Orhan Gundogdu,,Charcoal Restaurant,"31A Station Road, Bognor Regis, West Sussex, PO21 1QD",08/01/2021,,Arun
114290,Licensing Act 2003,Premises Licence,Granted,Co-Operative Group Food LTD,,Co-operative Group Food Ltd,"SHOP AROUND THE CLOCK AND ALDINGBOURNE POST OFFICE, Westergate Street, Westergate, CHICHESTER, West Sussex, PO20 3QL",21/04/2022,,Arun
116317,Licensing Act 2003,Premises Licence,Granted,Mr Rawa Kader Ahmed,,Pop In,"14 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",27/05/2022,,Arun
116319,Licensing Act 2003,Premises Licence,Granted,Fauna Drinks Ltd,,The Old Engine Shed,"Old Engine Shed, 6A, London Road, Arundel, West Sussex, BN18 9AT",26/05/2022,,Arun
116353,Licensing Act 2003,Premises Licence,Granted,KOYE 2009 Ltd,,V&D Station,"16 Station Road, BOGNOR REGIS, West Sussex, PO21 1QE",01/06/2022,,Arun
113104,Licensing Act 2003,Premises Licence,Granted,Mr Julian Clayton,,Rassasy,"50 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP",10/02/2020,,Arun
116459,Licensing Act 2003,Premises Licence,Granted,Metsan LTD,,The Mezze Turkish Restaurant,"4 The Arcade, Bognor Regis, West Sussex, PO21 1LH",28/06/2022,,Arun
114367,Licensing Act 2003,Premises Licence,Granted,Thai Time Midhurst Ltd,,Thai Time,"61 High Street, Arundel, West Sussex, BN18 9AJ",06/01/2021,,Arun
116496,Licensing Act 2003,Premises Licence,Granted,SOFIA MARKET Ltd,,SOFIA MARKET,"53 High Street, Bognor Regis, West Sussex, PO21 1RX",28/06/2022,,Arun
116507,Licensing Act 2003,Premises Licence,Granted,Slindon College Ltd,,Slindon House,"Slindon College, Top Road, Slindon, Arundel, West Sussex, BN18 0RH",30/06/2022,,Arun
116602,Licensing Act 2003,Premises Licence,Granted,Mr Peter Leach,,The Seaview Hotel,"SEAVIEW HOTEL, 127, Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1PD",04/08/2016,,Arun
6570,Licensing Act 2003,Premises Licence,Granted,Haven Leisure Ltd,,Church Farm Holiday Village,"CHURCH FARM HOLIDAY VILLAGE, Church Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 4NR",20/04/2018,,Arun
114092,Licensing Act 2003,Premises Licence,Granted,Gondals Sussex Ltd,,Sussex News,"15B Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5AZ",11/01/2021,,Arun
6920,Licensing Act 2003,Premises Licence,Granted,La Campania,,La Campania,"51 High Street, Arundel, West Sussex, BN18 9AJ",20/09/2010,,Arun
114437,Licensing Act 2003,Premises Licence,Granted,Beach Cafe Services Ltd,,Kitesurf Beach Café,"The Beach Cafe, Sea Road, Rustington, Littlehampton, West Sussex, BN16 2NA",23/02/2021,,Arun
7740,Licensing Act 2003,Premises Licence,Granted,Middleton Sports Club Ltd,,Middleton Sports Club Limited,"MIDDLETON SPORTS CLUB, 3, Sea Lane, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 7RH",26/10/2021,,Arun
12718,Licensing Act 2003,Premises Licence,Granted,Cissbury Enterprises Ltd,,Cissbury House,"CISSBURY, Nepcote, Findon, WORTHING, West Sussex, BN14 0SR",14/01/2014,,Arun
12561,Licensing Act 2003,Premises Licence,Granted,WM Morrisons Supermarkets Limited,,M Fuel,"MORRISONS SUPERMARKET, Hawthorn Road, LITTLEHAMPTON, West Sussex, BN17 7LT",05/02/2020,,Arun
116733,Licensing Act 2003,Premises Licence,Granted,Mrs Kimberly Ward,,The Pea Pod Arundel,"1, TARRANT SQUARE, Tarrant Street, ARUNDEL, West Sussex, BN18 9DE",01/11/2022,,Arun
6861,Licensing Act 2003,Premises Licence,Granted,Mr Michael John Lacy,,The Navigator Hotel,"Navigator Hotel, 13 - 14, Marine Drive West, Bognor Regis, West Sussex, PO21 2QA",24/11/2005,,Arun
116761,Licensing Act 2003,Premises Licence,Granted,Juniper Arundel Ltd,,Juniper,"37 Tarrant Street, Arundel, West Sussex, BN18 9DG",16/08/2022,,Arun
6433,Licensing Act 2003,Premises Licence,Granted,Mr Ketulkumar Vinodchandra Patel,,PATEL NEWS,"29 West Street, BOGNOR REGIS, West Sussex, PO21 1XA",27/02/2015,,Arun
116917,Licensing Act 2003,Premises Licence,Granted,Mr George Arulrajah Antony,,BANANA LEAF CAFE,"39 Worthing Road, Rustington, Littlehampton, West Sussex, BN16 3JU",14/09/2022,,Arun
6603,Licensing Act 2003,Premises Licence,Granted,Mr Roger James Tester,,The Richmond Arms,"RICHMOND ARMS, 224, London Road, BOGNOR REGIS, West Sussex, PO21 1AU",31/08/2022,,Arun
6803,Licensing Act 2003,Premises Licence,Granted,Southern Co-Operative Ltd,,Co-op,"68 - 70 Rose Green Road, Aldwick, BOGNOR REGIS, West Sussex, PO21 3EQ",06/09/2022,,Arun
116957,Licensing Act 2003,Premises Licence,Granted,Mrs Hanna Gorczyca,,Cafe Punjab,"80 High Street, BOGNOR REGIS, West Sussex, PO21 1RZ",24/10/2022,,Arun
116994,Licensing Act 2003,Premises Licence,Granted,TOTF Ltd,,The Orange Tree,"7 Sea Lane, Ferring, Worthing, West Sussex, BN12 5DP",19/10/2022,,Arun
9673,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Express,"126 Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8QL",27/03/2018,,Arun
8611,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Stores Limited,"TESCO STORE, Broad Piece, LITTLEHAMPTON, West Sussex, BN17 5RA",07/10/2022,,Arun
117086,Licensing Act 2003,Premises Licence,Granted,Ms Sacha Rees,,139 Steps,"28 High Street, Arundel, West Sussex, BN18 9AB",15/11/2022,,Arun
6701,Licensing Act 2003,Premises Licence,Granted,Miss Sarah Louise Watts,,Village House Hotel,"VILLAGE HOUSE HOTEL, The Square, Findon, WORTHING, West Sussex, BN14 0TE",19/12/2012,,Arun
117243,Licensing Act 2003,Premises Licence,Granted,Mr & Mrs Faye & Erik Childerhouse,,Green & Coal,"5 - 7 Tarrant Street, Arundel, West Sussex, BN18 9DG",10/01/2023,,Arun
117243,Licensing Act 2003,Premises Licence,Granted,Mr & Mrs Faye & Erik Childerhouse,,Green & Coal,"5 - 7 Tarrant Street, Arundel, West Sussex, BN18 9DG",10/01/2023,,Arun
6935,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,Victoria Inn,"Victoria Inn, Charlwood Street, Bognor Regis, West Sussex, PO21 2PQ",24/11/2005,,Arun
111382,Licensing Act 2003,Premises Licence,Granted,Shell UK Oil Products Limited,,Shell Little Waitrose Fontwell,"SHELL WAITROSE FONTWELL, Arundel Road, Fontwell, ARUNDEL, West Sussex, BN18 0SB",21/01/2022,,Arun
115173,Licensing Act 2003,Premises Licence,Granted,Iberica Delicatessen LTD,,Iberica delicatessen,"6 Bayford Road, Littlehampton, West Sussex, BN17 5HL",10/09/2021,,Arun
117273,Licensing Act 2003,Premises Licence,Granted,Mr Amanulla Masakhaila,,Perfect Pizza,"9, THE PARADE, Willowhayne Crescent, East Preston, LITTLEHAMPTON, West Sussex, BN16 1NS",09/01/2023,,Arun
8566,Licensing Act 2003,Premises Licence,Granted,SUHARAD SERVICES LTD,,CRAIGWELL NEWS,"91 Barrack Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 4DX",07/11/2008,,Arun
117366,Licensing Act 2003,Premises Licence,Granted,V H Store Ltd,,Maxted News and Food,"16 Worthing Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3JX",23/12/2022,,Arun
117366,Licensing Act 2003,Premises Licence,Granted,V H Store Ltd,,Maxted News and Food,"16 Worthing Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3JX",23/12/2022,,Arun
6367,Licensing Act 2003,Premises Licence,Granted,Greene King Brewing and Retailing Limited,,Lamb Inn,"LAMB INN, 73, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NU",24/11/2022,,Arun
6367,Licensing Act 2003,Premises Licence,Granted,Greene King Brewing and Retailing Limited,,Lamb Inn,"LAMB INN, 73, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NU",24/11/2022,,Arun
6635,Licensing Act 2003,Premises Licence,Granted,The Craft Union Pub Company Ltd,,The Alex,"Alexandra Tavern, 56, London Road, Bognor Regis, West Sussex, PO21 1PU",20/10/2021,,Arun
10914,Licensing Act 2003,Premises Licence,Granted,Savers Health & Beauty Ltd,,Savers Health and Beauty Limited,"43 London Road, BOGNOR REGIS, West Sussex, PO21 1PQ",05/12/2022,,Arun
6579,Licensing Act 2003,Premises Licence,Granted,Bestway Retail Ltd,,Central Stores,"ELM TREE STORES , Nyton Road, Eastergate, CHICHESTER, West Sussex, PO20 3UP",07/12/2022,,Arun
115618,Licensing Act 2003,Premises Licence,Granted,WM Morrisons Supermarkets Limited,,MORRISONS,"MORRISONS SUPERMARKET, Hawthorn Road, LITTLEHAMPTON, West Sussex, BN17 7LT",09/11/2021,,Arun
6458,Licensing Act 2003,Premises Licence,Granted,Lowman Hotels (Arundel) Limited,,Avisford Park Hotel,"Avisford Park Hotel, Yapton Lane, Walberton, Arundel, West Sussex, BN18 0LS",25/03/2014,,Arun
6459,Licensing Act 2003,Premises Licence,Granted,Lowman Hotels (Arundel) Limited,,Avisford Park Hotel,"Avisford Park Golf Club, Yapton Lane, Walberton, Arundel, West Sussex, BN18 0LS",27/01/2011,,Arun
8699,Licensing Act 2003,Premises Licence,Granted,Motor Fuel Limited,,Rose Green Service Station,"Rose Green Service Station, 10, Hewarts Lane, Aldwick, Bognor Regis, West Sussex, PO21 3DS",08/12/2022,,Arun
117461,Licensing Act 2003,Premises Licence,Granted,Pete's Pool Club Ltd,,Pete's Pool Club,"18 Beach Road, Littlehampton, West Sussex, BN17 5HT",10/01/2023,,Arun
117461,Licensing Act 2003,Premises Licence,Granted,Pete's Pool Club Ltd,,Pete's Pool Club,"18 Beach Road, Littlehampton, West Sussex, BN17 5HT",10/01/2023,,Arun
5858,Licensing Act 2003,Premises Licence,Granted,Rontec Watford Limited,,Crossbush Service Station,"PETROL FILLING STATION, Lyminster Road, Lyminster, LITTLEHAMPTON, West Sussex, BN17 7QQ",19/02/2021,,Arun
6790,Licensing Act 2003,Premises Licence,Granted,Motor Fuel Limited,,Westergate Service Station,"ALDINGBOURNE MOTORS, Nyton Road, Westergate, CHICHESTER, West Sussex, PO20 3UN",23/09/2020,,Arun
6670,Licensing Act 2003,Premises Licence,Granted,Iceland Foods Ltd,,Iceland Foods Limited,"72 - 74 High Street, BOGNOR REGIS, West Sussex, PO21 1SJ",17/03/2016,,Arun
117562,Licensing Act 2003,Premises Licence,Granted,Mr John Paton,,Victoria Institute Arundel,"Victoria Institute, 10, Tarrant Street, Arundel, West Sussex, BN18 9DG",11/02/2023,,Arun
113074,Licensing Act 2003,Premises Licence,Granted,Firebird Littlehampton LTD,,Firebird Littlehampton Ltd,"52 High Street, Littlehampton, West Sussex, BN17 5EA",18/01/2023,,Arun
117621,Licensing Act 2003,Premises Licence,Granted,Karen Hope,,suga kane,"9 - 11 York Road, Bognor Regis, West Sussex, PO21 1LW",23/02/2023,,Arun
117621,Licensing Act 2003,Premises Licence,Granted,Karen Hope,,suga kane,"9 - 11 York Road, Bognor Regis, West Sussex, PO21 1LW",23/02/2023,,Arun
115217,Licensing Act 2003,Premises Licence,Granted,Iceland Foods Ltd,,Iceland Foods Limited,"UNIT 1A , THE BOGNOR REGIS RETAIL PARK, Rowan Way, Bersted, BOGNOR REGIS, West Sussex, PO22 9TR",25/10/2021,,Arun
6835,Licensing Act 2003,Premises Licence,Granted,Hall and Woodhouse Ltd,,St Marys Gate Inn,"ST MARYS GATE INN, London Road, ARUNDEL, West Sussex, BN18 9BA",28/08/2013,,Arun
6757,Licensing Act 2003,Premises Licence,Granted,Whitbread Group PLC,,Regis Brewers Fayre,"THE REGIS , The Esplanade, BOGNOR REGIS, West Sussex, PO21 1PJ",17/05/2019,,Arun
6375,Licensing Act 2003,Premises Licence,Granted,Whitbread Group PLC,,The Roundstone,"THE ROUNDSTONE INN, Roundstone Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 1EB",31/08/2018,,Arun
13425,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Stores Limited,"194 - 196 Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QB",15/11/2014,,Arun
12342,Licensing Act 2003,Premises Licence,Granted,Sainsbury's Supermarkets Ltd,,Sainsbury's,"SAINSBURYS SUPERSTORE, New Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3RT",04/12/2018,,Arun
7951,Licensing Act 2003,Premises Licence,Granted,The Craft Union Pub Company Limited,,The Craft Union Pub Company Ltd,"13 High Street, BOGNOR REGIS, West Sussex, PO21 1RJ",18/08/2017,,Arun
115408,Licensing Act 2003,Premises Licence,Granted,Loungers UK Limited,,Bonito Lounge,"1 London Road, BOGNOR REGIS, West Sussex, PO21 1PQ",05/11/2021,,Arun
