Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6629,Licensing Act 2003,Premises Licence,Granted,Mr Nurul Islam,,Monsoon,"5, STERLING PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DR",24/11/2005,,Arun
6639,Licensing Act 2003,Premises Licence,Granted,Mr Mustafa Bagli,,Kebab Centre,"301 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AL",24/11/2005,,Arun
6642,Licensing Act 2003,Premises Licence,Granted,Mrs Loreta Stojanovski,,Golden Parrot Club,"4, SELBORNE PLACE, Selborne Road, LITTLEHAMPTON, West Sussex, BN17 5NH",24/11/2005,,
6644,Licensing Act 2003,Premises Licence,Granted,Mr Petre Stojanovski,,Vardar Restaurant,"3, SELBORNE PLACE, Selborne Road, LITTLEHAMPTON, West Sussex, BN17 5NH",24/11/2005,,
6647,Licensing Act 2003,Premises Licence,Granted,KD Enterprise Trades Limited - Premier Linden Stores,,Linden Road Stores,"5 Linden Road, Bognor Regis, West Sussex, PO21 2AL",28/09/2017,,Arun
6650,Licensing Act 2003,Premises Licence,Suspended,Brighton Thai Restaurants Limited - Tuptim Siam,,Tuptim Siam Thai Restaurant,"6 - 7, Lansdowne House, The Esplanade, Bognor Regis, West Sussex, PO21 1TR",07/04/2017,,Arun
6651,Licensing Act 2003,Premises Licence,Granted,Mrs Beverley Giacopazzi,,Lamb Inn,"THE LAMB INN, Steyne Street, BOGNOR REGIS, West Sussex, PO21 1TJ",18/06/2018,,
6656,Licensing Act 2003,Premises Licence,Granted,Mr Sinan Kalan,,Sylvan Oak,"SYLVAN OAK RESTAURANT, The Square, Findon, WORTHING, West Sussex, BN14 0TE",05/05/2015,,Arun
6658,Licensing Act 2003,Premises Licence,Granted,Mr & Mrs Jayarajah,,Hillside Stores,"1 Hill Terrace, Arundel, West Sussex, BN18 9LA",24/11/2005,,
6659,Licensing Act 2003,Premises Licence,Granted,Chris Lane Leisure (Holdings),,Lanes Health Club,"HEALTH CLUB, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB",14/06/2017,,Arun
6671,Licensing Act 2003,Premises Licence,Granted,Mr George Kuchczynski,,Piccola Italia,"24 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG",24/11/2005,,
6674,Licensing Act 2003,Premises Licence,Granted,Arundel Hospitality Inn Ltd - Integral Leisure Ltd,,Comfort Inn,"COMFORT INN, Lyminster Road, Lyminster, LITTLEHAMPTON, West Sussex, BN17 7QQ",13/09/2012,,
6684,Licensing Act 2003,Premises Licence,Granted,Mr Mikin Patel,,Costcutters,"124 - 128 Downs Way, East Preston, LITTLEHAMPTON, West Sussex, BN16 1AF",24/11/2005,,
6689,Licensing Act 2003,Premises Licence,Granted,Mr Harshad Patel,,Premier Felpham Bazaar,"5 - 7 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7AS",08/10/2010,,Arun
6695,Licensing Act 2003,Premises Licence,Granted,Pebble Hotels Ltd,,White Swan,"THE WHITE SWAN HOTEL, Chichester Road, ARUNDEL, West Sussex, BN18 0AD",29/10/2015,,Arun
6696,Licensing Act 2003,Premises Licence,Granted,Mr Paul Crease,,The Arun View Inn,"ARUN VIEW INN, Wharf Road, LITTLEHAMPTON, West Sussex, BN17 5DD",31/03/2006,,
6697,Licensing Act 2003,Premises Licence,Granted,Mr & Mrs Kavallierou,,47 Mussel Row,"MUSSEL HOUSE, Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP",27/08/2013,,Arun
6704,Licensing Act 2003,Premises Licence,Granted,St Marys Church Hall,,St Mary's Church Hall,"CLIMPING CHURCH HALL, Church Lane, Climping, LITTLEHAMPTON, West Sussex, BN17 5RB",24/11/2005,,
6707,Licensing Act 2003,Premises Licence,Granted,Mrs Louise Caroline Crawford,,The Spur,"THE SPUR PUBLIC HOUSE, London Road, Slindon, ARUNDEL, West Sussex, BN18 0NE",01/12/2010,,
6717,Licensing Act 2003,Premises Licence,Granted,Mr A Levtov,,Regis School Of Music,"46 Sudley Road, BOGNOR REGIS, West Sussex, PO21 1ER",24/11/2005,,
6719,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,The Lamb Inn,"THE LAMB INN, 144, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4NJ",05/03/2018,,Arun
6725,Licensing Act 2003,Premises Licence,Granted,Mr P T Englefield & Mrs A J F Englefield,,Highdown Vineyard,"HIGHDOWN VINEYARD, Littlehampton Road, Ferring, WORTHING, West Sussex, BN12 6PG",21/01/2011,,
6728,Licensing Act 2003,Premises Licence,Granted,The Parsons Table Restaurant,,Parsons Table,"Units 2 And 8, Castle Mews, Tarrant Street, Arundel, West Sussex, BN18 9DG",21/10/2015,,Arun
6730,Licensing Act 2003,Premises Licence,Granted,Trustees Of Slindon Coronation Hall,,Coronation Hall,"SLINDON CORONATION HALL, Reynolds Lane, Slindon, ARUNDEL, West Sussex, BN18 0QT",24/11/2005,,
6734,Licensing Act 2003,Premises Licence,Granted,Heywood & Bryett Ltd,,Ship & Anchor Public House,"SHIP AND ANCHOR, Station Road, Ford, ARUNDEL, West Sussex, BN18 0BJ",10/11/2010,,
6738,Licensing Act 2003,Premises Licence,Granted,South Coast Inns Ltd,,Angmering Manor,"ANGMERING MANOR, High Street, Angmering, LITTLEHAMPTON, West Sussex, BN16 4AG",31/10/2016,,Arun
6740,Licensing Act 2003,Premises Licence,Granted,Thai Pan 2005 Ltd,,Thai Pan,"96 Chichester Road, BOGNOR REGIS, West Sussex, PO21 5AA",24/11/2005,,
6742,Licensing Act 2003,Premises Licence,Granted,Mr Matthew D A Becker,,Beresford,"THE BERESFORD PUBLIC HOUSE, 53 - 55, Elmer Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6EH",30/08/2017,,Arun
6755,Licensing Act 2003,Premises Licence,Granted,Walberton Village Hall,,Walberton Village Hall / Playing Fields,"WALBERTON VILLAGE HALL, The Street, Walberton, West Sussex",24/11/2005,,
